frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
0,0.0,log1,group_02,traffic1.mp4,1,car,0.516,1242,320,1279,434,1260,377,1280,720,false,,0.0
1,0.033,log1,group_02,traffic1.mp4,1,car,0.516,1242,320,1279,434,1260,377,1280,720,false,,0.0
2,0.067,log1,group_02,traffic1.mp4,1,car,0.66,1232,334,1276,439,1254,386,1280,720,false,down,342.1
2,0.067,log1,group_02,traffic1.mp4,2,car,0.476,1042,345,1219,465,1130,405,1280,720,true,,0.0
3,0.1,log1,group_02,traffic1.mp4,1,car,0.641,1218,314,1275,439,1246,376,1280,720,false,left,342.1
4,0.133,log1,group_02,traffic1.mp4,1,car,0.656,1203,308,1274,443,1238,375,1280,720,false,left,271.7
5,0.167,log1,group_02,traffic1.mp4,1,car,0.834,1188,310,1272,447,1230,378,1280,720,false,left,256.3
6,0.2,log1,group_02,traffic1.mp4,1,car,0.718,1174,318,1270,448,1222,383,1280,720,false,left,268.3
7,0.233,log1,group_02,traffic1.mp4,1,car,0.775,1160,317,1270,447,1215,382,1280,720,false,left,212.1
8,0.267,log1,group_02,traffic1.mp4,1,car,0.808,1147,317,1269,446,1208,381,1280,720,false,left,210.0
9,0.3,log1,group_02,traffic1.mp4,1,car,0.749,1133,319,1262,445,1197,382,1280,720,false,left,300.0
10,0.333,log1,group_02,traffic1.mp4,1,car,0.819,1120,319,1254,443,1187,381,1280,720,false,left,331.4
11,0.367,log1,group_02,traffic1.mp4,1,car,0.799,1109,319,1245,443,1177,381,1280,720,false,left,300.0
12,0.4,log1,group_02,traffic1.mp4,1,car,0.824,1098,321,1236,443,1167,382,1280,720,false,left,301.5
13,0.433,log1,group_02,traffic1.mp4,1,car,0.793,1089,321,1228,442,1158,381,1280,720,false,left,240.0
14,0.467,log1,group_02,traffic1.mp4,1,car,0.824,1081,323,1220,443,1150,383,1280,720,false,left,271.7
15,0.5,log1,group_02,traffic1.mp4,1,car,0.798,1073,323,1212,443,1142,383,1280,720,false,left,210.0
16,0.533,log1,group_02,traffic1.mp4,1,car,0.761,1066,327,1204,443,1135,385,1280,720,false,left,247.4
17,0.567,log1,group_02,traffic1.mp4,1,car,0.786,1059,326,1197,442,1128,384,1280,720,false,left,212.1
18,0.6,log1,group_02,traffic1.mp4,1,car,0.707,1055,325,1192,441,1123,383,1280,720,false,left,153.0
19,0.633,log1,group_02,traffic1.mp4,1,car,0.799,1049,326,1186,441,1117,383,1280,720,false,left,153.0
19,0.633,log1,group_02,traffic1.mp4,3,car,0.406,871,355,1030,462,950,408,1280,720,true,,0.0
20,0.667,log1,group_02,traffic1.mp4,1,car,0.791,1046,327,1182,442,1114,384,1280,720,false,left,120.0
20,0.667,log1,group_02,traffic1.mp4,3,car,0.72,867,355,1025,462,946,408,1280,720,false,left,123.7
21,0.7,log1,group_02,traffic1.mp4,1,car,0.769,1043,328,1178,442,1110,385,1280,720,false,left,94.9
21,0.7,log1,group_02,traffic1.mp4,3,car,0.538,864,356,1022,462,943,409,1280,720,false,left,90.0
22,0.733,log1,group_02,traffic1.mp4,1,car,0.726,1041,329,1176,442,1108,385,1280,720,false,left,60.0
23,0.767,log1,group_02,traffic1.mp4,1,car,0.738,1038,331,1172,443,1105,387,1280,720,false,left,134.2
24,0.8,log1,group_02,traffic1.mp4,1,car,0.739,1034,333,1168,445,1101,389,1280,720,false,left,134.2
25,0.833,log1,group_02,traffic1.mp4,1,car,0.775,1031,332,1165,444,1098,388,1280,720,false,left,94.9
26,0.867,log1,group_02,traffic1.mp4,1,car,0.756,1029,329,1162,443,1095,386,1280,720,false,left,108.2
26,0.867,log1,group_02,traffic1.mp4,3,car,0.515,850,353,1018,465,934,409,1280,720,false,left,54.0
27,0.9,log1,group_02,traffic1.mp4,1,car,0.593,1028,329,1164,442,1096,385,1280,720,false,left,42.4
27,0.9,log1,group_02,traffic1.mp4,3,car,0.492,845,355,1011,468,928,411,1280,720,false,left,189.7
28,0.933,log1,group_02,traffic1.mp4,5,person,0.484,164,370,192,434,178,402,1280,720,true,,0.0
28,0.933,log1,group_02,traffic1.mp4,1,car,0.473,1027,331,1166,443,1096,387,1280,720,false,left,60.0
29,0.967,log1,group_02,traffic1.mp4,1,car,0.586,1028,329,1175,444,1101,386,1280,720,false,left,180.0
