epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,433.008,1.7245,1.64321,1.15466,0.44396,0.20218,0.19956,0.10073,1.74445,1.08564,1.13949,0.00998733,0.00332911,0.00998733,0.00332911,0.00998733,0.00332911,0.00998733,0.00332911
2,805.92,1.60834,1.10627,1.1162,0.30033,0.25185,0.21598,0.11317,1.58141,1.06076,1.09873,0.0195916,0.00653053,0.0195916,0.00653053,0.0195916,0.00653053,0.0195916,0.00653053
3,1142.23,1.62335,1.08543,1.13138,0.34113,0.16712,0.15951,0.07545,1.74334,1.17618,1.18488,0.0287998,0.00959994,0.0287998,0.00959994,0.0287998,0.00959994,0.0287998,0.00959994
4,1480.57,1.61817,1.06481,1.13704,0.44161,0.2193,0.18549,0.0962,1.58522,1.03248,1.11216,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1818.36,1.56926,1.00641,1.11233,0.65928,0.23642,0.23517,0.12416,1.5326,0.91439,1.09066,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2160.07,1.54227,0.97629,1.10358,0.45628,0.27707,0.25166,0.13463,1.49384,0.90083,1.06713,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2500.06,1.52521,0.9519,1.09369,0.48869,0.30298,0.27404,0.14335,1.48145,0.88389,1.06914,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2838.89,1.51242,0.93578,1.08682,0.44418,0.31192,0.28487,0.15053,1.48424,0.86301,1.06507,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3178.84,1.49309,0.92141,1.08028,0.31896,0.31718,0.28073,0.15192,1.4457,0.84959,1.05135,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3519.43,1.48915,0.91402,1.07415,0.42011,0.31118,0.30563,0.16709,1.43982,0.84037,1.04676,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
